id,name,category,price,stock_qty
1,Wireless Mouse - HyperSpeed,Electronics,24.99,149
2,Mechanical Keyboard V4 - Wireless,Electronics,89.99,75
3,Office Chair With Reclining,Furniture,129.99,38
4,Thermo Bottle - Navy Blue,Accessories,14.5,199
5,Notebook (A5) - Red,Office,4.25,300
6,Headset Light Pro,Sound,59.99,28
7,NF30 Gaming Microphone,Microphone,39.99,25
8,Notebook (A4) - Black,Office,4.25,200
9,Thermo Bottle - Black Matt,Accessories,14.5,195
12,"Full Hd Monitor - 27""",Electronics,169.99,9
19,Mr17 Speakers 2.1,Sound,149.99,14
